step,lr,l0,dead_fraction,loss,reconstruction_loss,l1_loss,aux_loss
130,2.62e-05,4631.0302734375,0.0,2.5821354389190674,0.7988040447235107,1959.35009765625,0.8036563992500305
131,2.64e-05,4604.55859375,0.0,2.5213301181793213,0.771733820438385,1946.199462890625,0.7764965891838074
132,2.6600000000000003e-05,4576.44140625,0.0,2.4575679302215576,0.7436400651931763,1931.239990234375,0.7483078241348267
133,2.68e-05,4557.109375,0.0,2.459956169128418,0.7405575513839722,1948.142578125,0.745327353477478
134,2.7e-05,4537.35546875,0.0,2.3527815341949463,0.695843517780304,1913.2255859375,0.7003251910209656
135,2.72e-05,4498.9658203125,0.0,2.364743232727051,0.6969900131225586,1932.2091064453125,0.7016486525535583
136,2.7400000000000002e-05,4480.0400390625,0.0,2.0158863067626953,0.5631593465805054,1772.1390380859375,0.566657304763794
137,2.7600000000000003e-05,4465.6865234375,0.0,2.1466760635375977,0.6075912714004517,1854.914794921875,0.6116273403167725
138,2.78e-05,4426.65966796875,0.0,2.2008512020111084,0.6245132684707642,1894.927001953125,0.6288743019104004
139,2.8e-05,4390.173828125,0.0,1.8843683004379272,0.507841169834137,1730.85302734375,0.5111006498336792
140,2.8200000000000004e-05,4392.74169921875,0.0,2.049220561981201,0.5616691708564758,1843.9107666015625,0.5655959248542786
141,2.8400000000000003e-05,4370.15625,0.0,1.9848685264587402,0.535187304019928,1821.478515625,0.5389418601989746
142,2.86e-05,4344.576171875,0.0,2.01662015914917,0.5421305894851685,1856.7694091796875,0.5461047887802124
143,2.8800000000000002e-05,4323.39208984375,0.0,1.8810439109802246,0.49181249737739563,1787.81982421875,0.49532151222229004
144,2.9e-05,4305.11083984375,0.0,1.9168291091918945,0.4993208050727844,1828.9512939453125,0.5030327439308167
145,2.92e-05,4283.4990234375,0.0,1.8092800378799438,0.4602774977684021,1770.7864990234375,0.46360936760902405
146,2.9400000000000003e-05,4245.4091796875,0.0,1.5488985776901245,0.37447696924209595,1595.2069091796875,0.37681806087493896
147,2.96e-05,4242.82373046875,0.0,1.565748929977417,0.3768836259841919,1619.12890625,0.3793008327484131
148,2.98e-05,4230.9814453125,0.0,1.8178801536560059,0.4496956765651703,1829.883056640625,0.4532429277896881
149,3e-05,4200.64501953125,0.0,1.5873678922653198,0.3770880103111267,1661.1513671875,0.3797041177749634
150,3.0200000000000002e-05,4192.275390625,0.0,1.7771203517913818,0.42772218585014343,1836.39404296875,0.4312010705471039
151,3.04e-05,4173.12451171875,0.0,1.6366900205612183,0.38344722986221313,1733.7679443359375,0.3863588571548462
152,3.0600000000000005e-05,4153.1455078125,0.0,1.72189199924469,0.4021207094192505,1828.591552734375,0.4054754972457886
153,3.08e-05,4135.623046875,0.0,1.5632216930389404,0.35482972860336304,1701.7552490234375,0.3575144410133362
154,3.1e-05,4104.876953125,0.0,1.5582177639007568,0.3493831753730774,1713.47021484375,0.3520994782447815
155,3.12e-05,4096.8818359375,0.0,1.4932019710540771,0.3292560279369354,1664.522216796875,0.3316848576068878
156,3.1400000000000004e-05,4059.120849609375,0.0,1.4151582717895508,0.30688929557800293,1598.469970703125,0.3090338408946991
157,3.16e-05,4051.92138671875,0.0,1.4635341167449951,0.31392747163772583,1666.601318359375,0.31630587577819824
158,3.18e-05,4027.62060546875,0.0,1.3984498977661133,0.29562580585479736,1610.16455078125,0.2977418303489685
159,3.2e-05,4029.68896484375,0.0,1.4925882816314697,0.3127713203430176,1729.03759765625,0.3152981400489807
160,3.22e-05,3981.58203125,0.0,1.3745272159576416,0.2833349406719208,1611.557861328125,0.2854132652282715
161,3.24e-05,3969.121337890625,0.0,1.331586480140686,0.2715950608253479,1573.02392578125,0.2734793424606323
162,3.2600000000000006e-05,3939.5048828125,0.0,1.2087539434432983,0.2461535930633545,1430.172607421875,0.24751399457454681
163,3.2800000000000004e-05,3929.316650390625,0.0,1.2894314527511597,0.25794821977615356,1543.616455078125,0.25967490673065186
164,3.3e-05,3913.935302734375,0.0,1.197662591934204,0.23968231678009033,1433.94970703125,0.24100542068481445
165,3.32e-05,3897.662841796875,0.0,1.282701015472412,0.2517803907394409,1554.869384765625,0.25348585844039917
166,3.34e-05,3904.174560546875,0.0,1.3351318836212158,0.25636640191078186,1640.980224609375,0.2582753300666809
167,3.3600000000000004e-05,3871.211181640625,0.0,1.2101454734802246,0.23546750843524933,1475.640869140625,0.23685753345489502
168,3.38e-05,3855.795654296875,0.0,1.2262299060821533,0.2337522804737091,1514.483154296875,0.23523598909378052
169,3.4e-05,3847.211181640625,0.0,1.2995816469192505,0.24169036746025085,1628.8701171875,0.24345609545707703
170,3.4200000000000005e-05,3821.477294921875,0.0,1.2607529163360596,0.2340058535337448,1582.2508544921875,0.2356216311454773
171,3.44e-05,3794.96826171875,0.0,1.1597126722335815,0.21877287328243256,1441.874267578125,0.22000257670879364
172,3.46e-05,3784.92431640625,0.0,1.2199759483337402,0.22345107793807983,1543.2373046875,0.22490623593330383
173,3.4800000000000006e-05,3773.50390625,0.0,1.1866527795791626,0.21902821958065033,1494.59912109375,0.22032493352890015
174,3.5000000000000004e-05,3761.694580078125,0.0,1.18369460105896,0.21625037491321564,1499.8236083984375,0.2175324261188507
175,3.52e-05,3726.899658203125,0.0,1.1240609884262085,0.20961937308311462,1407.5125732421875,0.21068522334098816
176,3.54e-05,3702.21240234375,0.0,1.1606584787368774,0.20999804139137268,1478.9163818359375,0.21120229363441467
177,3.56e-05,3705.210693359375,0.0,1.1138904094696045,0.20441637933254242,1408.06884765625,0.2054395228624344
178,3.5799999999999996e-05,3691.43408203125,0.0,1.1148815155029297,0.2032579481601715,1414.69580078125,0.20427563786506653
179,3.6e-05,3686.631103515625,0.0,1.2330454587936401,0.21010863780975342,1622.90185546875,0.21148589253425598
180,3.6200000000000006e-05,3661.305419921875,0.0,1.1693947315216064,0.20402728021144867,1520.345703125,0.20519457757472992
181,3.6400000000000004e-05,3656.82421875,0.0,1.2125492095947266,0.20552125573158264,1600.481689453125,0.2067871391773224
182,3.66e-05,3632.55029296875,0.0,1.1195025444030762,0.19911585748195648,1440.5858154296875,0.20009368658065796
183,3.68e-05,3644.7275390625,0.0,1.174721121788025,0.19970685243606567,1548.4017333984375,0.20081332325935364
184,3.7000000000000005e-05,3590.033935546875,0.0,1.0718231201171875,0.19394582509994507,1366.1890869140625,0.19478274881839752
185,3.72e-05,3598.99462890625,0.0,1.10378897190094,0.19422274827957153,1428.910400390625,0.19511094689369202
186,3.74e-05,3575.299560546875,0.0,1.138214111328125,0.19358402490615845,1500.1494140625,0.19455529749393463
187,3.76e-05,3568.61083984375,0.0,1.0940138101577759,0.19248950481414795,1416.3968505859375,0.19332586228847504
188,3.78e-05,3568.087158203125,0.0,1.1263641119003296,0.19187359511852264,1483.4481201171875,0.19276638329029083
189,3.8e-05,3547.892333984375,0.0,1.0784627199172974,0.18973888456821442,1396.41943359375,0.19051405787467957
190,3.820000000000001e-05,3542.592041015625,0.0,1.0819242000579834,0.18911835551261902,1405.8436279296875,0.1898840069770813
191,3.8400000000000005e-05,3530.432861328125,0.0,1.08644437789917,0.18916377425193787,1414.72216796875,0.18991947174072266
192,3.86e-05,3503.251953125,0.0,1.0495363473892212,0.18570660054683685,1354.8583984375,0.18640050292015076
193,3.88e-05,3482.990966796875,0.0,1.085731863975525,0.18769100308418274,1419.21435546875,0.1884336769580841
194,3.9e-05,3476.40234375,0.0,1.0523490905761719,0.18625284731388092,1358.3409423828125,0.18692579865455627
195,3.92e-05,3486.3134765625,0.0,1.1062867641448975,0.18632158637046814,1465.81201171875,0.1870591640472412
196,3.94e-05,3493.370849609375,0.0,1.1154526472091675,0.18473047018051147,1490.527587890625,0.18545831739902496
197,3.96e-05,3475.935546875,0.0,1.1232812404632568,0.18471115827560425,1506.2626953125,0.18543870747089386
198,3.9800000000000005e-05,3438.8583984375,0.0,1.005187749862671,0.18558838963508606,1266.88671875,0.18615585565567017
199,4e-05,3438.403076171875,0.0,1.0981237888336182,0.18379011750221252,1459.728759765625,0.18446917831897736
200,4.02e-05,3443.439208984375,0.0,1.0924912691116333,0.1834927350282669,1449.7135009765625,0.18414178490638733
201,4.0400000000000006e-05,3422.981689453125,0.0,1.0827560424804688,0.18335992097854614,1430.8021240234375,0.18399502336978912
